Rk,Name,Age,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,WHIP,H9,HR9,BB9,SO9,SO/W,League,Team,Year,PlayerID,Throws
1,Chujiro Endo,18,0,5,0,4.38,6,5,1,3,0,NA,39,31,24,19,2,24,NA,19,2,0,1,176,1.41,7.2,0.5,5.5,4.4,0.79,Japanese Baseball League (Spring),Dai Tokyo,1936,endo--000chu,right
2,Hisashi Kondo*,17,0,4,0,5.45,6,2,3,2,0,NA,36.1,37,32,22,0,35,NA,17,0,0,1,127,1.982,9.2,0,8.7,4.2,0.49,Japanese Baseball League (Spring),Dai Tokyo,1936,kondo-000his,left
3,Kazuaki Otomo,19,0,2,0,8.22,4,3,1,0,0,NA,15.1,19,18,14,0,15,NA,9,0,0,0,62,2.217,11.2,0,8.8,5.3,0.6,Japanese Baseball League (Spring),Dai Tokyo,1936,otomo-000kaz,right
4,Shichinosuke Sakurai,17,0,2,0,4.31,6,4,2,2,0,NA,31.1,30,21,15,2,30,NA,12,0,0,1,128,1.915,8.6,0.6,8.6,3.4,0.4,Japanese Baseball League (Spring),Dai Tokyo,1936,sakura001shi,right
1,Katsusaburo Asano*,20,1,3,0.25,5.53,9,3,1,1,0,NA,27.2,40,28,17,2,8,NA,12,0,0,2,134,1.735,13,0.7,2.6,3.9,1.5,Japanese Baseball League (Spring),Hankyu,1936,asano-000kat,left
2,Mitsuhiko Ishida,20,0,0,NA,3.6,2,0,2,0,0,NA,5,5,5,2,0,3,NA,4,0,0,0,26,1.6,9,0,5.4,7.2,1.33,Japanese Baseball League (Spring),Hankyu,1936,ishida000mit,right
3,Masao Kitai,22,6,2,0.75,1.94,11,10,1,6,1,NA,83.1,69,29,18,1,17,NA,30,0,0,0,341,1.032,7.5,0.1,1.8,3.2,1.76,Japanese Baseball League (Spring),Hankyu,1936,kitai-000mas,right
4,Chitoji Maruo,18,4,1,0.8,4.5,9,3,6,1,0,NA,42,42,28,21,0,31,NA,16,3,0,1,207,1.738,9,0,6.6,3.4,0.52,Japanese Baseball League (Spring),Hankyu,1936,maruo-000chi,right
5,Saburo Miyatake,28,0,1,0,8.31,2,2,0,0,0,NA,8.2,14,10,8,0,8,NA,3,0,0,1,48,2.538,14.5,0,8.3,3.1,0.38,Japanese Baseball League (Spring),Hankyu,1936,miyata000sab,right
1,Kuranosuke Furuya,25,3,2,0.6,2.27,7,5,2,3,1,NA,43.2,37,15,11,0,20,NA,11,1,0,0,184,1.305,7.6,0,4.1,2.3,0.55,Japanese Baseball League (Spring),Nagoya,1936,furuya000kur,right
2,Kiyomi Hirakawa?,24,1,2,0.333,5.73,4,3,0,0,0,NA,11,10,13,7,0,13,NA,3,2,0,1,61,2.091,8.2,0,10.6,2.5,0.23,Japanese Baseball League (Spring),Nagoya,1936,hiraka000kiy,unknown
3,Hiroshi Kaneko*,21,0,0,NA,2.31,4,0,3,0,0,NA,11.2,7,6,3,1,9,NA,7,1,0,0,49,1.371,5.4,0.8,6.9,5.4,0.78,Japanese Baseball League (Spring),Nagoya,1936,kaneko000hir,left
4,Hiroki Kinoshita,29,1,0,1,2.08,2,2,0,1,0,NA,13,9,4,3,0,11,NA,10,0,0,0,55,1.538,6.2,0,7.6,6.9,0.91,Japanese Baseball League (Spring),Nagoya,1936,kinosh000hir,right
5,Kozo Naito*,20,1,1,0.5,3.64,7,2,2,1,0,NA,29.2,28,18,12,2,22,NA,20,2,0,0,141,1.685,8.5,0.6,6.7,6.1,0.91,Japanese Baseball League (Spring),Nagoya,1936,naito-000koz,left
1,Bucky Harris,29,0,0,NA,0,1,0,1,0,0,NA,3,2,0,0,0,0,NA,3,0,0,2,0,0.667,6,0,0,9,NA,Japanese Baseball League (Spring),Nagoya Golden Dolphins,1936,harris001and,right
2,Kiyoshi Makino,18,1,3,0.25,12.19,8,3,5,0,0,NA,20.2,36,31,28,0,13,NA,3,1,0,1,89,2.371,15.7,0,5.7,1.3,0.23,Japanese Baseball League (Spring),Nagoya Golden Dolphins,1936,makino000kiy,right
3,Kazuyoshi Matsura?,26,4,1,0.8,2.36,6,3,2,3,1,NA,49.2,41,17,13,2,35,NA,12,3,0,3,223,1.53,7.4,0.4,6.3,2.2,0.34,Japanese Baseball League (Spring),Nagoya Golden Dolphins,1936,matsur000kaz,unknown
4,Herbert North?,26,2,5,0.286,6.48,12,10,1,3,0,NA,58.1,65,52,42,1,57,NA,26,2,0,1,257,2.091,10,0.2,8.8,4,0.46,Japanese Baseball League (Spring),Nagoya Golden Dolphins,1936,north-000her,unknown
5,Shozo Sakurai*,22,0,0,NA,6.23,1,0,1,0,0,NA,8.2,15,6,6,0,9,NA,1,0,0,2,47,2.769,15.6,0,9.3,1,0.11,Japanese Baseball League (Spring),Nagoya Golden Dolphins,1936,sakura000sho,left
1,Fumio Fujimura,19,3,3,0.5,3.38,8,5,3,4,1,NA,40,1,19,15,4,17,NA,44,0,0,2,217,0.45,0.2,0.9,3.8,9.9,2.59,Japanese Baseball League (Spring),Osaka Tigers,1936,fujimu000fum,right
2,Masaru Kageura,20,0,0,NA,6.75,1,0,1,0,0,NA,2.2,3,3,2,0,2,NA,1,0,0,0,13,1.875,10.1,0,6.8,3.4,0.5,Japanese Baseball League (Spring),Osaka Tigers,1936,kageur000mas,right
3,Takao Misono,20,1,1,0.5,3.6,4,3,1,1,0,NA,15,14,10,6,0,5,NA,6,0,0,1,60,1.267,8.4,0,3,3.6,1.2,Japanese Baseball League (Spring),Osaka Tigers,1936,misono000tak,right
4,Tadashi Wakabayashi?,28,5,2,0.714,3.97,9,7,1,4,0,NA,68,70,42,30,3,29,NA,39,3,0,0,311,1.456,9.3,0.4,3.8,5.2,1.34,Japanese Baseball League (Spring),Osaka Tigers,1936,wakaba000hen,unknown
1,Kenichi Aoshiba,23,0,2,0,7.36,2,1,1,0,0,NA,3.2,8,4,3,1,1,NA,2,0,0,0,19,2.455,19.6,2.5,2.5,4.9,2,Japanese Baseball League (Spring),Tokyo Kyojin,1936,aoshib000ken,right
2,Toshihide Hatafuku,23,1,1,0.5,3.98,5,2,3,0,0,NA,20.1,17,11,9,2,11,NA,17,0,0,0,88,1.377,7.5,0.9,4.9,7.5,1.55,Japanese Baseball League (Spring),Tokyo Kyojin,1936,hatafu000tos,right
3,Hachiro Maekawa,24,0,1,0,4,4,2,1,0,0,NA,18,23,11,8,1,3,NA,5,1,0,0,84,1.444,11.5,0.5,1.5,2.5,1.67,Japanese Baseball League (Spring),Tokyo Kyojin,1936,maekaw000hac,right
4,Eiji Sawamura,19,1,1,0.5,2.12,4,2,0,1,0,NA,17,16,12,4,1,5,NA,11,0,0,0,73,1.235,8.5,0.5,2.6,5.8,2.2,Japanese Baseball League (Spring),Tokyo Kyojin,1936,sawamu000eij,right
5,Victor Starfin?,20,0,0,NA,0,1,0,1,0,0,NA,3,3,0,0,0,1,NA,4,0,0,0,14,1.333,9,0,3,12,4,Japanese Baseball League (Spring),Tokyo Kyojin,1936,starfi000vic,unknown
1,Saburo Asaoka,22,2,0,1,3.07,9,4,3,1,0,NA,29.1,26,14,10,0,20,NA,17,0,0,0,126,1.568,8,0,6.1,5.2,0.85,Japanese Baseball League (Spring),Tokyo Senators,1936,asaoka000sab,right
2,Shigezo Ishihara,22,4,0,1,4.1,9,4,3,1,0,NA,37.1,33,19,17,1,18,NA,15,1,0,1,105,1.366,8,0.2,4.3,3.6,0.83,Japanese Baseball League (Spring),Tokyo Senators,1936,ishiha000shi,right
3,Akira Noguchi,18,8,4,0.667,2.24,13,10,3,7,0,NA,96.1,84,30,24,4,35,NA,46,1,0,0,398,1.235,7.8,0.4,3.3,4.3,1.31,Japanese Baseball League (Spring),Tokyo Senators,1936,noguch000aki,right
1,Chujiro Endo,19,1,1,0.5,3.38,3,3,0,1,0,NA,16,18,10,6,0,7,NA,1,0,0,0,73,1.563,10.1,0,3.9,0.6,0.14,Japanese Baseball League (Spring),Dai Tokyo,1937,endo--000chu,right
2,Yoshio Kikuya,21,6,2,0.75,1.88,12,9,3,7,2,NA,81.1,72,29,17,0,40,NA,42,1,1,1,357,1.377,8,0,4.4,4.6,1.05,Japanese Baseball League (Spring),Dai Tokyo,1937,kikuya000yos,right
3,Hisashi Kondo*,18,11,10,0.524,2.51,28,20,5,13,1,NA,183,140,84,51,3,133,NA,91,3,0,0,812,1.492,6.9,0.1,6.5,4.5,0.68,Japanese Baseball League (Spring),Dai Tokyo,1937,kondo-000his,left
4,Shigeharu Murata*,20,0,1,0,5.52,4,1,3,0,0,NA,14.2,17,13,9,1,19,NA,8,0,0,1,77,2.455,10.4,0.6,11.7,4.9,0.42,Japanese Baseball League (Spring),Dai Tokyo,1937,murata002shi,left
5,Kazuaki Otomo,20,3,12,0.2,3.26,23,18,4,7,0,NA,132.1,122,90,48,0,116,NA,48,3,0,3,646,1.798,8.3,0,7.9,3.3,0.41,Japanese Baseball League (Spring),Dai Tokyo,1937,otomo-000kaz,right
6,Shichinosuke Sakurai,18,0,5,0,4.5,19,5,11,2,0,NA,72,87,63,36,0,44,NA,13,1,0,0,352,1.819,10.9,0,5.5,1.6,0.3,Japanese Baseball League (Spring),Dai Tokyo,1937,sakura001shi,right
1,Fumisaburo Fujino,20,2,6,0.25,3.97,11,10,1,6,0,NA,79.1,92,48,35,1,48,NA,31,2,0,1,378,1.765,10.4,0.1,5.4,3.5,0.65,Japanese Baseball League (Spring),Eagles,1937,fujino000fum,right
2,Masao Furukawa?,22,1,3,0.25,5.15,10,6,4,3,0,NA,43.2,42,32,25,1,47,NA,25,5,0,1,221,2.038,8.7,0.2,9.7,5.2,0.53,Japanese Baseball League (Spring),Eagles,1937,furuka000mas,unknown
3,Toshihide Hatafuku,24,7,21,0.25,3.43,32,28,4,23,3,NA,239,225,138,91,6,119,NA,96,5,0,3,1066,1.439,8.5,0.2,4.5,3.6,0.81,Japanese Baseball League (Spring),Eagles,1937,hatafu000tos,right
4,Akio Ishii,32,1,3,0.25,5.81,7,1,6,0,0,NA,26.1,31,25,17,1,21,NA,10,0,0,1,135,1.975,10.6,0.3,7.2,3.4,0.48,Japanese Baseball League (Spring),Eagles,1937,ishii-001aki,right
5,Misao Matsumoto*,22,1,7,0.125,2.58,12,8,3,3,0,NA,66.1,71,57,19,3,31,NA,21,1,1,2,310,1.538,9.6,0.4,4.2,2.8,0.68,Japanese Baseball League (Spring),Eagles,1937,matsum000mis,left
6,Junichi Mochizuki*,18,0,1,0,7.36,3,1,0,1,0,NA,11,11,14,9,0,15,NA,3,0,1,0,57,2.364,9,0,12.3,2.5,0.2,Japanese Baseball League (Spring),Eagles,1937,mochid000jun,left
7,Tsuna Oishi,23,0,3,0,7.89,5,2,2,0,0,NA,21.2,25,27,19,0,23,NA,7,0,0,1,114,2.215,10.4,0,9.6,2.9,0.3,Japanese Baseball League (Spring),Eagles,1937,oishi-000tsu,right
1,Mitsuhiko Ishida,21,8,6,0.571,2.82,23,14,8,6,1,NA,124.1,103,50,39,2,47,NA,56,0,1,2,526,1.206,7.5,0.1,3.4,4.1,1.19,Japanese Baseball League (Spring),Hankyu,1937,ishida000mit,right
2,Minoru Kasamatsu,21,7,9,0.438,2.71,27,15,9,10,1,NA,156,121,58,47,2,86,NA,76,1,1,5,664,1.327,7,0.1,5,4.4,0.88,Japanese Baseball League (Spring),Hankyu,1937,kasama000min,right
3,Masao Kitai,23,2,4,0.333,3.38,7,5,2,1,0,NA,26.2,33,15,10,0,13,NA,13,0,0,1,124,1.725,11.1,0,4.4,4.4,1,Japanese Baseball League (Spring),Hankyu,1937,kitai-000mas,right
4,Chitoji Maruo,19,0,1,0,2.4,4,1,1,1,0,NA,15,6,7,4,1,13,NA,7,1,0,1,65,1.267,3.6,0.6,7.8,4.2,0.54,Japanese Baseball League (Spring),Hankyu,1937,maruo-000chi,right
5,Saburo Miyatake,29,0,1,0,6.75,2,1,0,0,0,NA,5.1,7,6,4,1,10,NA,1,0,0,0,33,3.188,11.8,1.7,16.9,1.7,0.1,Japanese Baseball League (Spring),Hankyu,1937,miyata000sab,right
6,Takeo Mizobe,20,5,2,0.714,2.27,14,8,3,3,0,NA,63.1,49,28,16,0,30,NA,20,2,0,1,268,1.247,7,0,4.3,2.8,0.67,Japanese Baseball League (Spring),Hankyu,1937,mizobe000tak,right
7,Hirotaro Mori,22,0,0,NA,6.75,2,0,1,0,0,NA,9.1,14,9,7,0,2,NA,8,0,0,0,46,1.714,13.5,0,1.9,7.7,4,Japanese Baseball League (Spring),Hankyu,1937,mori--000kot,right
8,Michio Shigematsu,20,6,3,0.667,2.64,23,12,7,4,0,NA,105.2,78,45,31,3,76,NA,26,5,0,1,470,1.457,6.6,0.3,6.5,2.2,0.34,Japanese Baseball League (Spring),Hankyu,1937,shigem000mic,right
1,Yoshio Kikuya,21,13,10,0.565,2.34,29,21,8,19,1,NA,204,147,86,53,4,123,NA,97,5,0,7,882,1.324,6.5,0.2,5.4,4.3,0.79,Japanese Baseball League (Fall),Lion,1937,kikuya000yos,right
2,Hisashi Kondo*,18,3,11,0.214,5.91,21,14,6,2,0,NA,91.1,90,71,60,6,70,NA,37,2,0,1,446,1.752,8.9,0.6,6.9,3.6,0.53,Japanese Baseball League (Fall),Lion,1937,kondo-000his,left
3,Shigeharu Murata*,20,0,0,NA,NA,1,0,0,0,0,NA,0,1,0,0,0,2,NA,0,0,1,0,3,NA,NA,NA,NA,NA,0,Japanese Baseball League (Fall),Lion,1937,murata002shi,left
4,Kazuaki Otomo,20,1,5,0.167,8.26,9,7,2,0,0,NA,40.1,45,45,37,2,41,NA,19,6,1,2,212,2.132,10,0.4,9.1,4.2,0.46,Japanese Baseball League (Fall),Lion,1937,otomo-000kaz,right
5,Shichinosuke Sakurai,18,2,3,0.4,5.84,20,7,11,1,0,NA,103.1,119,82,67,6,78,NA,40,2,2,5,509,1.906,10.4,0.5,6.8,3.5,0.51,Japanese Baseball League (Fall),Lion,1937,sakura001shi,right
1,Chujiro Endo,19,3,4,0.429,4.55,8,8,0,5,1,NA,55.1,46,30,28,1,36,NA,16,3,0,0,250,1.482,7.5,0.2,5.9,2.6,0.44,Japanese Baseball League (Spring),Nagoya,1937,endo--000chu,right
2,Kunio Ito,19,0,0,NA,12.6,2,0,1,0,0,NA,5,10,9,7,0,3,NA,1,0,0,0,26,2.6,18,0,5.4,1.8,0.33,Japanese Baseball League (Spring),Nagoya,1937,itoh--000kun,right
3,Hiroki Kinoshita,30,5,11,0.313,2.71,24,22,1,7,1,NA,149.1,116,72,45,0,119,NA,53,3,0,4,667,1.574,7,0,7.2,3.2,0.45,Japanese Baseball League (Spring),Nagoya,1937,kinosh000hir,right
4,Shigeru Morii,22,3,9,0.25,4.94,19,17,1,5,0,NA,109.1,127,91,60,2,55,NA,37,4,0,4,513,1.665,10.5,0.2,4.5,3,0.67,Japanese Baseball League (Spring),Nagoya,1937,morii-000shi,right
5,Nobuo Osawa,20,1,4,0.2,6.25,7,3,4,1,0,NA,31.2,36,25,22,0,20,NA,5,0,0,1,147,1.768,10.2,0,5.7,1.4,0.25,Japanese Baseball League (Spring),Nagoya,1937,osawa-000nob,right
